,E_IQA_Intra(A)-n1,E_IQA_Intra(A)-c2,E_IQA_Intra(A)-h3,E_IQA_Intra(A)-h4,E_IQA_Intra(A)-c5,E_IQA_Intra(A)-h6,E_IQA_Intra(A)-h7,E_IQA_Intra(A)-c8,E_IQA_Intra(A)-h9,E_IQA_Intra(A)-h10,E_IQA_Intra(A)-c11,E_IQA_Intra(A)-h12,E_IQA_Intra(A)-h13,E_IQA_Intra(A)-s14,E_IQA_Intra(A)-s15,E_IQA_Intra(A)-c16,E_IQA_Intra(A)-h17,E_IQA_Intra(A)-h18,E_IQA_Intra(A)-h19,E_IQA_Intra(A)-c20,E_IQA_Intra(A)-h21,E_IQA_Intra(A)-h22,E_IQA_Intra(A)-h23,E_IQA_Intra(A)-o24,E_IQA_Intra(A)-o25,E_IQA_Intra(A)-o26,E_IQA_Intra(A)-o27,E_IQA_Intra(A)-o28,E_IQA_Intra(A)-o29,E_IQA_Intra(A)-s30,E_IQA_Intra(A)-o31,E_IQA_Intra(A)-o32,E_IQA_Intra(A)-c33,E_IQA_Intra(A)-h34,E_IQA_Intra(A)-h35,E_IQA_Intra(A)-h36
0,-141887.8455250375,-98512.39400706001,-1195.632026813,-1171.2985651506,-98517.05952056,-1192.674585504375,-1169.302430083055,-98404.171521929,-1193.81999456223,-1188.470681060665,-98431.059235923,-1177.894281742065,-1192.46656049686,-1037735.59932558,-1037567.58454886,-98855.58351429101,-1153.571999905,-1189.8188283142151,-1191.88771288867,-98846.3720761905,-1189.52871893956,-1190.799726351355,-1189.06122928837,-196107.504187915,-196101.553754715,-196103.0125061445,-196090.047437953,-196287.054734256,-196315.71889568152,-1038010.9193374999,-196103.6731239525,-196105.298909692,-98838.3705288765,-1187.25567131056,-1194.982893965945,-1180.72339307404
1,-141997.6509871305,-98519.09861513501,-1195.004429577185,-1169.72647702977,-98519.2387722015,-1190.61103563086,-1178.093009775315,-98408.86046801652,-1190.710674327295,-1186.3319636997599,-98437.79651309451,-1166.4369910990952,-1196.974623418235,-1037719.956570325,-1037552.804532905,-98856.01813168451,-1156.542982492425,-1189.43403695083,-1191.068018372365,-98845.97155354,-1190.01556041611,-1191.06352690326,-1189.3216149049351,-196105.613659883,-196092.6300031515,-196104.42851443402,-196089.5394903445,-196286.0908318155,-196317.5415545385,-1038216.46894485,-196107.87855796,-196109.3040338025,-98839.87921469049,-1181.964063883535,-1195.10929107575,-1181.164401643425
2,-142011.4414048765,-98521.217409388,-1195.32559499365,-1169.44948331411,-98519.59276311549,-1190.04514964358,-1183.78961218205,-98411.87650063951,-1187.445261947435,-1187.255900910535,-98437.78127469249,-1165.667055032535,-1197.59020279537,-1037725.7396804099,-1037548.56610949,-98856.19408481801,-1156.511102306165,-1189.682795173075,-1191.038615607905,-98845.95636764799,-1189.958544244205,-1191.054816255655,-1189.471424884735,-196105.85526626947,-196091.9304334255,-196104.9031654515,-196090.06570093098,-196286.6820524075,-196320.38235604047,-1038238.614958585,-196107.06053355048,-196110.0842903945,-98839.791929943,-1181.61250394624,-1195.21436579117,-1181.94580901833
3,-141986.38341758552,-98520.77799258051,-1196.0647107883,-1169.31342759367,-98519.142545001,-1189.33665957129,-1187.3205592040551,-98413.771216344,-1184.705735117175,-1187.458119493525,-98437.9017693895,-1166.573371698905,-1196.87109651383,-1037727.27097703,-1037551.7289968301,-98856.14528990051,-1155.79200124937,-1189.980958347745,-1191.10233174075,-98845.81357720502,-1189.85022254668,-1190.966110850105,-1189.930944095535,-196106.07440887802,-196091.1792778755,-196104.92773750602,-196091.885729037,-196289.45609269547,-196323.351148042,-1038187.229460235,-196104.633145904,-196109.432260597,-98839.1951879245,-1183.19326535381,-1195.2881317604051,-1183.701882176005
4,-141955.345310566,-98519.8721110645,-1196.8463921341302,-1169.144652340875,-98520.4991802335,-1187.53514034762,-1190.09273767124,-98415.14235221299,-1182.06612586396,-1187.78105260663,-98437.4692655235,-1167.33805684423,-1196.31163333971,-1037724.11134531,-1037553.4485943101,-98856.1571939175,-1155.26294462087,-1190.33077831368,-1191.115857922925,-98845.7110278005,-1189.78237437568,-1190.898301168935,-1190.25859160895,-196106.672219475,-196089.647022948,-196104.90768393702,-196093.109695129,-196292.1124633245,-196324.5209264395,-1038123.4530196551,-196102.6038470695,-196108.3450909315,-98838.410895939,-1185.4002075662,-1195.287473862615,-1184.915396310035
5,-141919.28209369,-98518.92640858999,-1197.45118073252,-1169.586804656825,-98521.72567205649,-1184.83835770756,-1191.58770309483,-98414.939758131,-1179.8629889199951,-1188.18619204135,-98436.558844518,-1168.48477500264,-1195.525072528385,-1037715.460559105,-1037558.6734968399,-98855.99040115351,-1155.50067009829,-1190.735734619775,-1191.146054376035,-98845.7977585675,-1189.670713672275,-1190.78367606599,-1190.66664624134,-196107.3932474125,-196088.39413697348,-196104.9196903485,-196094.506602906,-196296.085960662,-196324.24314853948,-1038049.0441442351,-196100.55813360898,-196107.26560873,-98837.49949562199,-1188.1573559122999,-1195.13129308081,-1185.80520800695
6,-141947.136301493,-98514.821098025,-1197.17181151697,-1171.223777179235,-98521.9034499125,-1184.372486047,-1185.097893922365,-98413.86264413051,-1186.166087629085,-1186.6220520966701,-98429.93266012799,-1162.522676364825,-1203.7705511091349,-1037710.363255875,-1037451.005653835,-98854.428409813,-1158.66206547166,-1191.89562246997,-1190.860837699395,-98845.09689447,-1193.000043167005,-1190.17591792208,-1189.35992333914,-196107.040010017,-196092.1784644105,-196077.573052082,-196091.83067230202,-196275.53197661298,-196329.74388609952,-1038129.693885665,-196102.83488844402,-196108.574173683,-98839.77616906649,-1193.577663669005,-1193.91973762229,-1175.00367453132
7,-141900.90253561348,-98513.35324923799,-1197.6469053513001,-1173.3376397718,-98523.6231104045,-1180.94069037612,-1185.01157202448,-98412.6194541275,-1186.4137382579,-1187.3749576211849,-98427.307685228,-1164.285102471105,-1203.564922159175,-1037691.184135905,-1037457.929622435,-98853.838727764,-1160.774600821465,-1192.1884864404599,-1190.822449371225,-98844.650060625,-1193.11573364534,-1190.27125801864,-1189.6210947941101,-196108.0110800725,-196091.73651137002,-196079.3167542775,-196094.135330951,-196280.25995600902,-196321.25875056602,-1038041.75903811,-196103.2106736335,-196107.7889312665,-98838.708753663,-1193.734119734485,-1193.951374188405,-1177.455371866105
8,-141931.8645687705,-98515.54393230651,-1197.897978686935,-1180.2549515215699,-98529.681685324,-1175.955204959445,-1185.07834694359,-98415.13500868951,-1184.241900214495,-1188.904185714755,-98427.34437396501,-1165.287183619855,-1200.800866647675,-1037654.47904204,-1037527.499648845,-98852.31454099799,-1164.4780254188352,-1192.87580122513,-1190.96470187553,-98843.80500931849,-1191.934284138945,-1191.228715040425,-1190.1429438475,-196109.9442882325,-196093.2876173875,-196084.128132681,-196091.75341959,-196302.69090213152,-196303.423944357,-1038098.0586848101,-196105.0905053785,-196112.868777547,-98837.4213003555,-1184.18485201149,-1194.3242518729498,-1188.439746579505
9,-141921.43588323248,-98514.96745127151,-1198.3905645737,-1182.416041135545,-98532.6608900585,-1169.99422846033,-1186.1796423241901,-98415.57997580401,-1182.839308440035,-1190.06658690359,-98424.04696650701,-1170.1442565929249,-1199.633398112565,-1037624.81404264,-1037553.2089911799,-98850.9096280715,-1169.552251343995,-1193.17090716258,-1190.89492264928,-98844.069399794,-1191.39766725192,-1191.201343205235,-1190.10420123436,-196112.1807889015,-196097.074068854,-196087.63558801552,-196090.573162822,-196313.2080565175,-196291.1916374625,-1038079.10562039,-196105.8533969135,-196113.78132783298,-98837.6494510545,-1181.51510918589,-1194.26353828816,-1191.269446417305
10,-141853.131061643,-98514.315957076,-1197.45804063892,-1171.253404476455,-98537.4911851895,-1183.63209089871,-1168.437220607635,-98436.45628198601,-1174.00838733641,-1182.58574450259,-98426.1286283135,-1173.75913775184,-1198.50296774225,-1037632.228375875,-1037588.053970805,-98846.56885741549,-1187.92385166127,-1191.589907753435,-1189.59914934232,-98846.77828042301,-1189.497838727485,-1190.369033450235,-1190.3736574808352,-196105.975091464,-196104.199633846,-196106.4140041755,-196092.27877688903,-196307.7173798735,-196310.60115030847,-1037940.664081845,-196101.645169374,-196103.9298295895,-98834.520072971,-1192.7587518667601,-1193.815484031995,-1188.81077402169
11,-141833.884497829,-98512.37830657001,-1197.7535672864901,-1171.09212817676,-98537.77393316099,-1182.24840639995,-1170.183379746035,-98437.0495373405,-1171.7973675912451,-1182.43926591472,-98421.1041354495,-1180.0957363181399,-1198.0132364303602,-1037637.4283099,-1037593.157680255,-98846.6233102855,-1188.578303298735,-1191.4873843938951,-1189.622908515765,-98847.029651044,-1189.31258825215,-1190.177897102745,-1190.304285627165,-196106.2797098505,-196104.8011490235,-196106.414768196,-196093.424461073,-196307.6493321645,-196320.6655424705,-1037903.787779125,-196101.50205861998,-196103.84630980899,-98834.6131128145,-1193.1054869489599,-1193.5868421282,-1189.64247644603
12,-141842.3508190295,-98511.176000853,-1197.8875927602899,-1170.8856102587552,-98537.10175790201,-1182.22716227172,-1171.237693221905,-98435.895590708,-1170.664829810845,-1183.241936689025,-98417.3082558125,-1184.838389187305,-1197.573508317325,-1037643.32318752,-1037597.942023885,-98846.39669812951,-1189.0628173482999,-1191.450842737405,-1189.701327999965,-98847.3663215345,-1189.0424145090349,-1189.990582223015,-1190.380782352695,-196106.78230669,-196106.14238307302,-196106.57477666799,-196093.39620281648,-196309.01827049,-196328.675520265,-1037918.779489145,-196102.268552341,-196104.3733553045,-98834.7129815835,-1193.00607412429,-1193.46761013917,-1190.721337953075
13,-142048.5431120225,-98522.79345503,-1198.676897796725,-1163.013060533545,-98550.6622474855,-1182.62960962376,-1170.267621118955,-98432.48656536851,-1171.111735384505,-1185.42968568251,-98417.123927334,-1178.167082901795,-1197.18005285645,-1037635.369839135,-1037547.86667629,-98845.567005998,-1189.915018705205,-1191.58904819099,-1190.404567072255,-98845.52919617249,-1191.895327862615,-1190.7750963783249,-1188.07128346317,-196107.39171412052,-196107.233908443,-196083.66009267248,-196080.8377746905,-196311.48440526548,-196332.48702687802,-1038323.97125008,-196109.53645619,-196109.4692617685,-98843.02285449,-1195.212382462215,-1193.33335083834,-1163.747020266275
14,-142084.468435013,-98526.422568158,-1198.07305750268,-1185.890763888955,-98537.90460429601,-1182.448837096205,-1191.618071701975,-98424.7681546,-1183.03729784137,-1174.365549670625,-98408.55637473,-1176.05750880093,-1197.98960918829,-1037604.1326115701,-1037582.9746522501,-98844.98676524701,-1190.155797691635,-1192.390251625855,-1190.7009737086598,-98844.229392513,-1192.195590649635,-1190.67105351066,-1189.381999041985,-196108.3393043295,-196109.3780624005,-196085.939685673,-196083.08306028252,-196332.698794457,-196321.489416494,-1038349.4134740449,-196105.03408075802,-196122.99084144202,-98841.95278733151,-1172.4832794925,-1192.90476337818,-1193.0444165062102
15,-142085.592537587,-98525.740962103,-1198.00366926589,-1185.585609795435,-98535.511455795,-1185.899777177945,-1190.131119829485,-98426.86127146299,-1181.719758903115,-1171.93701087365,-98408.80756944249,-1176.44456604958,-1197.8249525573451,-1037602.57894569,-1037581.23504846,-98844.61626256349,-1190.44927216964,-1192.390774415415,-1190.870429386035,-98844.2193184695,-1192.119478402325,-1190.562620071855,-1189.25021314594,-196107.43401092547,-196108.99166494,-196083.96356371552,-196082.7875445045,-196331.4458874785,-196325.570803503,-1038340.57039622,-196102.8129051325,-196122.1561451075,-98841.49049454251,-1173.4069835851299,-1192.90140877683,-1193.067420323305
16,-142084.892726315,-98526.71884008,-1200.211264413875,-1164.54098209955,-98534.8317217215,-1189.96591557175,-1179.39386198075,-98420.3640122505,-1177.054106986755,-1182.17963473558,-98410.039388405,-1178.89605725636,-1197.558959109075,-1037628.884959155,-1037549.30881093,-98844.805106902,-1190.091443220975,-1191.8392199561802,-1190.98624935403,-98844.714170084,-1192.25110293514,-1190.8407111152399,-1188.43381176803,-196106.2142613865,-196107.820140585,-196083.5090161515,-196081.128378158,-196314.83435160402,-196340.898677292,-1038378.1444780751,-196107.6796632075,-196110.0038765805,-98842.3050401645,-1192.714226616125,-1193.21102086433,-1167.00462847866
17,-142065.459988296,-98522.252686046,-1199.8256379577049,-1161.764911118575,-98541.165013208,-1194.558125925655,-1171.788168206815,-98415.023564091,-1174.8819247403,-1181.9401903958199,-98411.97230775999,-1179.4887372062801,-1197.60982667504,-1037634.305461435,-1037562.2680951449,-98844.766302012,-1189.6984549415702,-1191.567270482395,-1191.2854150758749,-98845.5997748635,-1191.65621310187,-1190.753021909465,-1187.8616353452999,-196104.7368452775,-196104.9851073065,-196084.8631965415,-196082.40039877652,-196314.60427378802,-196343.0650377285,-1038353.117109365,-196111.05705914847,-196109.42320262198,-98844.852612699,-1190.322673368925,-1192.55463998321,-1165.95600986982
18,-142054.693295888,-98521.724461701,-1200.48087173162,-1163.382088788755,-98538.288452396,-1196.8648256121,-1174.135555660585,-98407.61935478401,-1180.522870275245,-1178.217505734315,-98409.433470264,-1180.207908573965,-1197.7137116188799,-1037632.647300655,-1037577.012062985,-98844.56596586,-1189.4099956149,-1191.403067354065,-1191.5661711330351,-98845.79865123749,-1191.46075092807,-1190.95181686671,-1187.553117172375,-196100.02117159998,-196103.10260280248,-196089.29805724102,-196082.1316263415,-196316.9248140865,-196343.698232189,-1038345.68922855,-196114.87150894702,-196111.05935646102,-98846.551542243,-1184.186626508175,-1192.58045736487,-1167.99170074662
19,-142062.1041345825,-98521.54735859849,-1200.79680429029,-1163.30024420853,-98539.77792480099,-1197.47094481389,-1172.618842380335,-98408.215595332,-1183.33465367479,-1176.09905644576,-98408.810129305,-1180.7709863527,-1197.77062621019,-1037623.7187628051,-1037577.30845568,-98844.695177217,-1189.39718853092,-1191.28657368277,-1191.572488086035,-98845.5946341345,-1191.52049759372,-1191.05369734632,-1187.61581408612,-196092.353824181,-196101.868305368,-196090.124632904,-196081.79212556197,-196317.66199147448,-196340.8482335605,-1038368.658756615,-196115.5173845725,-196111.581752196,-98847.978648521,-1175.0322492918451,-1192.91131457829,-1169.63528905644
20,-142064.4127314815,-98520.97300421851,-1200.8367201343601,-1162.07758404023,-98542.186232939,-1197.58665054638,-1169.025366056505,-98409.95008727351,-1186.570253790955,-1174.113767686285,-98409.86186259701,-1180.475616421225,-1197.81679378984,-1037607.044632385,-1037573.50499885,-98844.65978547701,-1189.44745698404,-1191.353563866625,-1191.519999720155,-98845.5475694215,-1191.6328087910051,-1190.998008207135,-1187.809206236955,-196086.850975719,-196100.7042295565,-196089.75379940748,-196081.16630613102,-196317.43755848348,-196335.6180852815,-1038381.1337411001,-196113.0400152825,-196110.8214625315,-98849.10220499101,-1168.38854081831,-1193.51223943837,-1170.29320018398
21,-141844.671338324,-98508.796982793,-1199.46601563501,-1171.7376789754,-98522.938492901,-1196.90885713746,-1169.20073646028,-98408.103559996,-1186.9477397005899,-1169.040973341255,-98408.0784313355,-1189.246220416815,-1194.195908900075,-1037651.595639175,-1037661.74800134,-98848.33256854651,-1170.766943382345,-1190.747913054035,-1191.252759526955,-98848.9375520095,-1188.81064673745,-1188.6468641879649,-1189.23668121392,-196100.553838291,-196091.6953199005,-196110.000891387,-196099.92886164552,-196328.62379528952,-196365.85106172197,-1037977.06677062,-196092.985708517,-196102.398383316,-98841.021882175,-1176.775984568645,-1191.855748660155,-1192.39505248388
22,-141821.639291853,-98509.65310583299,-1199.165674529325,-1173.993425740875,-98524.59920041599,-1196.6410296199101,-1167.466132961285,-98409.777636557,-1190.32539378075,-1168.667152130775,-98408.544218665,-1187.3697251047051,-1194.968798916685,-1037663.71208538,-1037673.8319701101,-98850.096586861,-1165.1673985955051,-1191.1805331509202,-1190.842028879945,-98848.9664010035,-1189.41278111287,-1188.69613256188,-1186.93135694816,-196100.26178029648,-196088.62297030247,-196110.67347884952,-196100.8126679575,-196327.00394318,-196360.58739631,-1037940.90586414,-196089.17142149952,-196101.105697387,-98842.412520258,-1171.3171328441301,-1192.551052421245,-1189.954341711375
23,-141817.99162431652,-98510.43879721001,-1199.20698438262,-1178.03515186811,-98526.85119941151,-1196.904091146075,-1164.25955748507,-98414.449083687,-1191.945513717505,-1162.7153104812999,-98404.4776263485,-1183.919168240945,-1196.607627615085,-1037675.776599195,-1037716.21767454,-98851.6120018315,-1163.287566850505,-1191.68372540131,-1189.7861654401502,-98851.135413195,-1190.257415306185,-1189.256598020625,-1173.95615038841,-196100.0201082725,-196083.7090214905,-196110.9591069945,-196096.608142373,-196328.57422322402,-196353.27197878752,-1037944.752930525,-196090.500509986,-196101.88845608052,-98841.673378996,-1171.257713079485,-1193.25521191507,-1187.5432703921551
24,-141842.15451827098,-98510.655416713,-1199.3386158205,-1179.492691550595,-98528.8203821725,-1196.489570432285,-1164.371989245315,-98417.633069545,-1193.402541348725,-1164.535522136005,-98402.51159156201,-1183.08797897058,-1197.24837818582,-1037663.497083185,-1037720.89326996,-98851.8348280165,-1161.095191752275,-1192.510027355935,-1189.6720894605298,-98852.090118509,-1190.7848816430799,-1189.7355872830499,-1168.21843966176,-196101.12198073798,-196079.503183156,-196111.425629464,-196094.602234118,-196331.59775952602,-196343.76250968,-1037987.302466155,-196090.940843093,-196103.99010056752,-98841.9727148765,-1169.531933019575,-1193.735673242835,-1188.53633155689
25,-141886.712440628,-98511.56272125,-1199.34653317328,-1181.13542586403,-98529.73374898899,-1196.156957914585,-1166.3414042843,-98420.574769012,-1194.241309938745,-1166.36644856123,-98401.7363628025,-1181.931253325095,-1197.72583181955,-1037643.3751986751,-1037724.26687993,-98851.7279649155,-1160.63524109306,-1193.201589727015,-1189.55618539777,-98853.04978601799,-1191.121405341875,-1190.051941890845,-1164.15663347423,-196102.77848482752,-196076.269927165,-196111.72197752548,-196092.82491239498,-196334.8425020795,-196331.3860628355,-1038057.34789185,-196091.899759709,-196107.139211909,-98842.62733604251,-1167.521831368485,-1194.0269474993302,-1189.845786738175
26,-141929.9334557595,-98512.5030939595,-1199.2951727484551,-1183.04019313775,-98529.44702601052,-1196.026581203155,-1170.155268885105,-98421.3185757875,-1195.28828611355,-1167.653959288415,-98399.75003815201,-1181.385976620145,-1197.96175788429,-1037614.245223665,-1037725.9685715,-98851.711705194,-1163.1437789538,-1193.641303321035,-1189.3452679556701,-98853.7590727195,-1191.2534374310549,-1190.307878466385,-1160.872836371935,-196104.919456679,-196074.23562675298,-196111.8135707185,-196091.577154022,-196336.57166425601,-196311.057007997,-1038113.9837600801,-196092.26158774048,-196110.71057716451,-98842.82164667199,-1165.9813643233201,-1194.16148799121,-1191.16930246965
27,-141972.1246946555,-98514.1736050915,-1199.182915872765,-1184.796839127015,-98528.776748988,-1195.939901160815,-1175.0601342285,-98420.340584914,-1196.45447004402,-1168.652070103555,-98398.8368236145,-1181.15692729126,-1197.96134063983,-1037582.70412073,-1037725.2490532249,-98851.012130217,-1166.6658952903401,-1193.903817666745,-1189.2652160931,-98854.458576808,-1191.314758661565,-1190.537901987045,-1158.09868673186,-196107.291490909,-196074.657150778,-196111.8549958575,-196090.78003121802,-196336.55501070948,-196288.5762718925,-1038162.10418663,-196091.92417948451,-196114.16290225,-98843.0169917485,-1165.45342353232,-1194.17477260113,-1192.11676891258
28,-141924.408576727,-98512.15314106451,-1200.12410477145,-1175.39813962822,-98519.314683283,-1197.464399626175,-1171.73966768663,-98428.287721366,-1197.82986725705,-1174.082166748205,-98400.9976153655,-1184.02851325335,-1197.262360994955,-1037554.44701945,-1037726.452004815,-98847.94926129951,-1186.40503362269,-1191.55934895507,-1189.030966383855,-98854.6316996525,-1191.290478352625,-1190.2661543617,-1159.195826969905,-196107.6385741325,-196086.9965308135,-196112.368262729,-196091.4330692075,-196333.60660309,-196276.370356524,-1038069.044153035,-196102.818079993,-196105.1755925825,-98840.43530871799,-1174.59641484782,-1194.842657766875,-1191.18165429193
29,-141916.575864816,-98512.252487359,-1200.295445925395,-1174.48916317282,-98518.036700154,-1197.7511667655851,-1172.20629743406,-98423.39094332399,-1197.47902673301,-1175.09736880695,-98400.7789322195,-1184.766928748385,-1196.800673278685,-1037560.816718745,-1037729.62237483,-98846.98493352799,-1187.8692356689548,-1191.33104828751,-1189.3940907297251,-98855.1015171245,-1191.278645434165,-1190.199947942105,-1158.751176963295,-196104.7174165775,-196089.07378178003,-196112.344438942,-196091.9291521815,-196335.0305508915,-196277.579373019,-1038043.1278425349,-196102.43295852552,-196104.18067511052,-98838.9994358955,-1179.11854501441,-1194.865078171615,-1191.5752517661
30,-141910.03560779,-98517.516310301,-1197.660583917495,-1172.309633044535,-98511.976542058,-1200.253881162305,-1173.300130907365,-98401.50966925599,-1196.9032650325,-1184.866982930195,-98424.4580646715,-1175.488422722975,-1197.416897977465,-1037729.8668613901,-1037561.258012785,-98854.820517736,-1159.285187647745,-1190.081207236635,-1191.33434134714,-98847.072924535,-1189.3866874761002,-1191.29305761757,-1187.65332050884,-196112.2509160065,-196092.0714647835,-196105.262315473,-196088.74990272548,-196278.58736022998,-196334.07657284098,-1038034.4516939999,-196103.2004971955,-196102.41305198448,-98839.1490631405,-1190.840208988365,-1194.8791925183,-1178.349293284425
31,-141885.389666469,-98516.268951004,-1197.58272999225,-1172.65344219077,-98511.613466914,-1199.90823285332,-1171.9549291235,-98401.6113732495,-1195.344844870845,-1188.715510615985,-98424.522176756,-1177.4508044675401,-1196.533288315415,-1037734.2011418099,-1037564.400841305,-98855.400937021,-1157.138231494095,-1190.0752521563,-1191.51796855459,-98847.167400527,-1189.41912521354,-1191.18378000175,-1187.712270939105,-196111.854021797,-196095.568607154,-196104.9690602505,-196088.86078809248,-196279.517721908,-196324.574021926,-1037992.22887559,-196102.218069227,-196102.10722324252,-98838.69735899301,-1190.00337499802,-1194.94515179958,-1179.083427980475
32,-141876.312252267,-98516.0058312705,-1197.335547122515,-1172.63897306027,-98511.766964146,-1199.003751280175,-1170.080708728375,-98402.337914737,-1193.49997751321,-1191.06913617899,-98423.9149852475,-1179.230908564165,-1195.48656082797,-1037741.11886172,-1037570.14645925,-98855.656387669,-1155.64990756156,-1190.068069182125,-1191.728323955905,-98847.089223639,-1189.4011437941601,-1191.044570084375,-1187.93565107835,-196110.896192138,-196099.54010386052,-196104.60479312952,-196089.237844024,-196281.8713225025,-196319.7686769215,-1037975.0852007499,-196101.65374688248,-196102.1554956855,-98838.362917552,-1189.450319540435,-1194.90263760318,-1179.840653896515
33,-141877.4207042355,-98515.435974372,-1197.10778749174,-1171.9985943653548,-98513.464775227,-1197.650680689025,-1168.04921442452,-98403.65510970849,-1192.203761888265,-1191.78011816584,-98425.194420278,-1179.97266022954,-1194.02218720528,-1037745.599776315,-1037570.1894124299,-98855.5925748915,-1154.52110760049,-1189.97715691255,-1191.94814691022,-98846.887422458,-1189.4286070492599,-1190.91516262878,-1188.41714850718,-196109.885112088,-196101.466656378,-196104.058697006,-196089.91860991903,-196284.8622710985,-196318.3008963975,-1037978.958837195,-196101.46050483148,-196102.593184914,-98838.198471985,-1188.99533118124,-1194.85071119932,-1180.856042286995
34,-141881.5075785395,-98514.8599843055,-1196.669430152255,-1171.58586621169,-98515.189492432,-1195.9804460221749,-1166.80057908201,-98403.430684594,-1191.8332206886798,-1191.693926125185,-98426.08914867,-1180.17520805023,-1193.21021399567,-1037748.07402126,-1037570.440016405,-98855.5212505585,-1153.87077193312,-1189.955800806745,-1192.060151186555,-98846.716444647,-1189.44136409121,-1190.833536175095,-1188.6378431012402,-196109.0866686575,-196102.806926869,-196103.705073662,-196089.8934497525,-196286.43614807748,-196317.425310526,-1037988.8723838801,-196101.7374320695,-196103.2482077815,-98838.230907412,-1188.66089462367,-1194.842397107235,-1180.8046610419551
35,-141881.813614696,-98513.2531783055,-1196.12553432903,-1171.48548452501,-98516.6312883825,-1194.25597826593,-1167.01751427513,-98403.444090397,-1192.41306871739,-1190.8765027714,-98427.9293274885,-1179.950619340825,-1192.5414119790698,-1037745.7410282149,-1037571.93494985,-98855.56525918949,-1153.48768559569,-1189.94464251051,-1192.0856515916,-98846.672913857,-1189.439291232705,-1190.767336240485,-1188.8214551595552,-196108.4068952015,-196103.68160956848,-196103.3121702125,-196089.830970729,-196287.28339692752,-196316.3262683495,-1037993.319797095,-196102.273934616,-196104.10496619248,-98838.089786787,-1188.327316368305,-1194.856724618265,-1180.5968043815
36,-141887.845527663,-98512.394001809,-1195.632024161245,-1171.2985643366949,-98517.059525811,-1192.674585661905,-1169.30243115951,-98404.1715193035,-1193.8199919629851,-1188.470678907755,-98431.05923329749,-1177.89427872274,-1192.466560313075,-1037735.59932558,-1037567.58454886,-98855.58351429101,-1153.57199969496,-1189.8188282354502,-1191.8877130462001,-98846.3720761905,-1189.52871888705,-1190.79972627259,-1189.061229419645,-196107.504187915,-196101.553754715,-196103.0125061445,-196090.047437953,-196287.0547316305,-196315.718893056,-1038010.9193374999,-196103.67312132698,-196105.298909692,-98838.370521,-1187.25566947271,-1194.98289257443,-1180.72339134121
